FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
1,50,10000,10,0.982,1.0,0.991,1.0,0.998,0.999
1,20,50000,10,0.999,1.0,1.0,1.0,1.0,1.0
2,20,50000,30,0.997,0.998,0.998,0.999,0.999,0.999
2,50,10000,10,0.986,0.963,0.974,0.996,0.998,0.997
2,50,200,30,0.857,0.808,0.832,0.911,0.936,0.923
2,100,10000,40,0.998,0.998,0.998,0.999,0.998,0.998
2,20,5000,5,0.957,0.962,0.96,0.998,0.998,0.998
2,500,200,10,0.75,0.938,0.833,0.993,0.966,0.979
2,50,5000,30,0.995,0.991,0.993,0.996,0.998,0.997
1,1000,50000,30,0.999,1.0,1.0,1.0,1.0,1.0
1,500,50000,40,0.999,1.0,1.0,1.0,1.0,1.0
2,100,10000,5,0.974,0.914,0.943,0.995,0.999,0.997
2,100,1000,50,0.985,1.0,0.992,1.0,0.985,0.993
1,1000,50000,50,1.0,1.0,1.0,1.0,1.0,1.0
1,50,5000,50,0.992,1.0,0.996,1.0,0.992,0.996
2,500,10000,50,0.998,0.995,0.997,0.995,0.998,0.996
1,50,500,20,0.955,0.889,0.921,0.976,0.991,0.983
1,50,5000,30,0.992,1.0,0.996,1.0,0.997,0.998
1,500,1000,30,0.921,0.953,0.937,0.98,0.967,0.973
1,100,500,30,0.948,0.977,0.962,0.989,0.974,0.981
2,1000,10000,5,0.997,0.914,0.954,0.995,1.0,0.998
1,100,500,50,0.947,0.951,0.949,0.949,0.944,0.946
1,20,1000,30,0.975,0.983,0.979,0.993,0.989,0.991
2,50,5000,10,0.959,0.904,0.931,0.989,0.996,0.992
1,100,1000,10,0.985,0.867,0.922,0.986,0.999,0.992
1,50,5000,10,0.988,0.983,0.986,0.998,0.999,0.998
2,100,1000,40,0.991,0.964,0.977,0.975,0.994,0.984
1,100,10000,50,0.997,1.0,0.998,1.0,0.997,0.999
2,50,50000,30,0.997,0.995,0.996,0.998,0.999,0.998
2,20,5000,10,0.969,0.96,0.965,0.995,0.996,0.996
1,50,1000,20,0.959,0.909,0.933,0.979,0.991,0.985
1,500,50000,5,0.999,1.0,0.999,1.0,1.0,1.0
2,20,10000,5,0.972,0.893,0.931,0.995,0.999,0.997
2,20,500,20,0.758,0.812,0.784,0.948,0.93,0.939
2,20,500,5,1.0,0.16,0.276,0.947,1.0,0.973
1,20,1000,20,0.936,0.994,0.964,0.998,0.983,0.991
1,1000,1000,5,1.0,0.222,0.364,0.956,1.0,0.977
1,100,1000,40,0.972,0.936,0.954,0.957,0.981,0.969
2,50,50000,20,0.998,0.994,0.996,0.998,0.999,0.999
1,50,1000,5,1.0,0.435,0.606,0.967,1.0,0.983
1,500,200,40,0.875,0.845,0.86,0.914,0.932,0.923
2,50,200,50,0.812,0.963,0.881,0.954,0.775,0.855
1,100,500,10,0.95,0.475,0.633,0.945,0.997,0.97
1,50,200,40,0.808,1.0,0.894,1.0,0.847,0.917
2,1000,500,30,0.984,0.946,0.965,0.975,0.993,0.984
2,20,5000,30,0.992,0.993,0.993,0.997,0.996,0.997
2,500,50000,50,0.999,0.999,0.999,0.999,0.999,0.999
1,1000,1000,20,0.91,1.0,0.953,1.0,0.981,0.99
1,1000,50000,10,0.999,1.0,0.999,1.0,1.0,1.0
1,1000,10000,30,0.995,1.0,0.997,1.0,0.998,0.999
2,20,5000,50,0.989,0.994,0.992,0.995,0.99,0.992
1,100,10000,40,0.998,1.0,0.999,1.0,0.999,0.999
1,20,5000,30,0.988,1.0,0.994,1.0,0.995,0.997
1,20,5000,10,0.985,0.936,0.96,0.993,0.998,0.995
2,100,50000,5,0.998,0.983,0.991,0.999,1.0,1.0
2,100,5000,40,0.995,0.996,0.995,0.997,0.997,0.997
2,1000,5000,40,0.995,0.995,0.995,0.997,0.997,0.997
1,50,5000,40,0.998,1.0,0.999,1.0,0.999,0.999
2,100,5000,10,0.948,0.925,0.937,0.991,0.994,0.993
1,50,1000,40,0.96,1.0,0.98,1.0,0.973,0.987
1,20,5000,5,0.99,0.899,0.943,0.994,0.999,0.997
1,100,1000,20,0.904,0.947,0.925,0.988,0.977,0.982
2,500,5000,20,0.993,0.968,0.981,0.992,0.998,0.995
2,500,50000,10,0.999,0.985,0.992,0.998,1.0,0.999
2,20,200,10,0.2,0.077,0.111,0.923,0.973,0.947
2,500,5000,40,0.995,0.996,0.996,0.998,0.997,0.997
1,100,5000,5,0.957,0.917,0.936,0.995,0.998,0.996
1,500,200,30,0.921,0.875,0.897,0.959,0.975,0.967
1,20,50000,5,0.996,1.0,0.998,1.0,1.0,1.0
1,500,50000,30,0.999,1.0,1.0,1.0,1.0,1.0
2,1000,500,50,0.984,0.963,0.973,0.968,0.986,0.977
1,500,200,5,0.0,0.0,0.0,0.938,1.0,0.968
2,500,5000,5,0.975,0.838,0.902,0.99,0.999,0.994
1,20,200,10,0.0,0.0,0.0,0.925,1.0,0.961
1,50,10000,5,0.977,0.985,0.981,0.999,0.999,0.999
1,100,500,40,0.976,1.0,0.988,1.0,0.983,0.992
1,20,200,30,0.915,0.811,0.86,0.912,0.963,0.937
1,1000,500,50,0.962,1.0,0.98,1.0,0.96,0.98
1,50,200,50,0.842,0.865,0.853,0.882,0.862,0.872
2,1000,50000,5,1.0,0.962,0.98,0.998,1.0,0.999
2,1000,500,20,0.924,0.824,0.871,0.961,0.985,0.973
1,1000,200,30,0.932,0.948,0.94,0.971,0.961,0.966
1,500,1000,20,0.976,0.937,0.956,0.983,0.994,0.988
2,50,5000,5,0.911,0.849,0.879,0.992,0.996,0.994
2,1000,1000,50,0.985,0.995,0.99,0.995,0.985,0.99
1,100,10000,30,0.996,1.0,0.998,1.0,0.998,0.999
1,500,5000,40,0.992,1.0,0.996,1.0,0.995,0.997
2,100,500,10,0.952,0.625,0.755,0.968,0.997,0.983
2,20,50000,10,0.994,0.984,0.989,0.998,0.999,0.999
2,20,5000,20,0.986,0.984,0.985,0.996,0.997,0.996
1,100,50000,30,1.0,1.0,1.0,1.0,1.0,1.0
1,50,10000,20,0.998,1.0,0.999,1.0,1.0,1.0
1,100,1000,5,0.914,0.653,0.762,0.978,0.996,0.987
2,20,50000,40,0.998,0.998,0.998,0.999,0.999,0.999
1,50,5000,20,0.991,1.0,0.996,1.0,0.998,0.999
2,50,500,40,0.965,0.879,0.92,0.926,0.98,0.952
1,50,1000,10,0.931,0.771,0.844,0.978,0.995,0.986
2,500,50000,30,0.998,0.998,0.998,0.999,0.999,0.999
