FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
1,50,1000,40,0.817,0.69,0.748,0.833,0.909,0.87
1,20,5000,5,0.727,0.432,0.542,0.976,0.993,0.984
1,100,1000,20,0.575,0.852,0.687,0.974,0.897,0.934
2,500,5000,20,1,0.989,0.995,0.997,1,0.999
2,500,50000,10,0.999,0.999,0.999,1,1,1
2,20,200,10,0.05,1,0.095,0,0,0
2,500,5000,40,0.992,0.992,0.992,0.995,0.995,0.995
1,100,5000,5,0.234,1,0.38,1,0.827,0.905
1,500,200,30,0.769,1,0.87,1,0.9,0.947
1,20,50000,5,0.26,0.967,0.409,0.998,0.864,0.926
1,500,50000,30,1,0.245,0.393,0.757,1,0.862
2,1000,500,50,0.479,1,0.648,0,0,0
1,500,200,5,0.167,0.5,0.25,0.971,0.868,0.917
2,500,5000,5,1,0.978,0.989,0.999,1,0.999
1,20,200,10,0,0,0,0.85,1,0.919
1,50,10000,5,0.301,0.684,0.418,0.981,0.911,0.945
1,100,500,40,0,0,0,0.708,1,0.829
1,20,200,30,0,0,0,0.575,1,0.73
1,1000,500,50,0.733,0.957,0.83,0.944,0.68,0.791
1,50,200,50,0.818,0.692,0.75,0.862,0.926,0.893
2,1000,50000,5,1,1,1,1,1,1
2,1000,500,20,0,0,0,0.812,1,0.897
1,1000,200,30,0,0,0,0.7,1,0.824
1,500,1000,20,0.7,0.8,0.747,0.95,0.917,0.933
2,50,5000,5,0.964,0.981,0.972,0.999,0.998,0.998
2,1000,1000,50,1,0.407,0.579,0.673,1,0.805
1,100,10000,30,0.819,1,0.9,1,0.906,0.951
1,500,5000,40,0,0,0,0.622,1,0.767
2,100,500,10,0.778,0.875,0.824,0.989,0.977,0.983
2,20,50000,10,1,1,1,1,1,1
2,20,5000,20,0.971,0.948,0.96,0.985,0.992,0.989
1,100,50000,30,0.297,1,0.458,0,0,0
1,50,10000,20,0.633,0.805,0.709,0.95,0.888,0.918
1,100,1000,5,0,0,0,0.938,1,0.968
2,20,50000,40,1,1,1,1,1,1
1,50,5000,20,0.824,0.886,0.854,0.972,0.955,0.964
2,50,500,40,0.974,0.974,0.974,0.983,0.983,0.983
1,50,1000,10,0,0,0,0.901,1,0.948
2,500,50000,30,0.999,1,0.999,1,0.999,1
2,500,50000,20,1,0.998,0.999,1,1,1
1,20,10000,40,0.536,0.633,0.58,0.705,0.615,0.657
2,50,1000,50,0.516,1,0.68,0,0,0
2,20,1000,50,0,0,0,0.5,1,0.667
2,20,1000,10,0.903,0.933,0.918,0.988,0.981,0.985
2,100,5000,20,1,1,1,1,1,1
2,100,500,50,0.5,0.959,0.657,0,0,0
2,20,200,20,1,0.8,0.889,0.972,1,0.986
2,1000,200,20,0.75,0.75,0.75,0.938,0.938,0.938
1,20,500,50,0.729,0.814,0.769,0.833,0.755,0.792
2,500,1000,50,0.989,0.989,0.989,0.989,0.989,0.989
2,1000,500,5,1,0.778,0.875,0.978,1,0.989
1,500,5000,20,0,0,0,0.785,1,0.88
2,1000,10000,40,1,0.996,0.998,0.998,1,0.999
2,1000,5000,5,0.981,0.981,0.981,0.999,0.999,0.999
2,500,200,50,0.933,0.824,0.875,0.88,0.957,0.917
1,50,500,50,0.784,0.833,0.808,0.822,0.771,0.796
1,500,1000,10,0,0,0,0.9,1,0.947
2,20,1000,40,1,1,1,1,1,1
1,1000,5000,5,0.216,0.944,0.352,0.996,0.796,0.885
2,1000,10000,10,0.995,0.974,0.984,0.997,0.999,0.998
1,500,500,5,0.5,0.6,0.545,0.978,0.967,0.972
2,100,10000,20,0.994,0.948,0.97,0.988,0.999,0.993
2,500,500,10,1,0.917,0.957,0.988,1,0.994
2,500,10000,10,0.102,1,0.186,0,0,0
1,500,50000,10,0.102,1,0.186,0,0,0
2,50,10000,20,0.997,0.997,0.997,0.999,0.999,0.999
1,50,500,40,0,0,0,0.594,1,0.745
1,1000,1000,30,0.902,0.578,0.705,0.806,0.966,0.878
2,1000,50000,50,1,1,1,1,1,1
1,500,10000,10,0,0,0,0.898,1,0.946
2,50,500,10,0.5,0.625,0.556,0.965,0.943,0.954
2,100,10000,10,0.963,0.994,0.978,0.999,0.996,0.998
2,50,5000,40,1,1,1,1,1,1
2,1000,500,10,0.75,0.692,0.72,0.952,0.964,0.958
1,1000,200,10,0,0,0,0.925,1,0.961
1,100,10000,20,0.665,1,0.799,1,0.88,0.936
1,1000,10000,20,0.691,1,0.817,1,0.9,0.947
1,50,50000,10,0,0,0,0.899,1,0.947
1,1000,500,10,0,0,0,0.917,1,0.957
2,1000,10000,20,0,0,0,0.809,1,0.895
2,100,200,10,0,0,0,0.925,1,0.961
1,20,1000,10,0,0,0,0.875,1,0.933
1,500,10000,40,0,0,0,0.602,1,0.751
2,20,200,50,1,1,1,1,1,1
1,500,10000,20,0.648,1,0.786,1,0.875,0.933
2,1000,1000,30,1,0.964,0.981,0.984,1,0.992
2,50,200,20,0.175,1,0.298,0,0,0
1,500,1000,50,0,0,0,0.422,1,0.594
2,100,500,20,0,0,0,0.792,1,0.884
2,20,1000,5,0,0,0,0.958,1,0.979
2,1000,1000,20,1,0.974,0.987,0.993,1,0.996
1,100,1000,30,0,0,0,0.682,1,0.811
1,100,5000,20,0.85,0.933,0.89,0.983,0.958,0.97
1,20,10000,50,0.738,0.892,0.807,0.871,0.697,0.775
1,100,200,50,0,0,0,0.6,1,0.75
2,100,10000,30,1,1,1,1,1,1
2,100,500,5,0.667,1,0.8,1,0.978,0.989
1,20,200,40,0,0,0,0.675,1,0.806
2,50,10000,40,0.99,0.998,0.994,0.998,0.993,0.996
2,50,500,20,1,0.947,0.973,0.987,1,0.994
2,100,200,40,1,0.867,0.929,0.926,1,0.962
2,500,200,40,0.375,1,0.545,0,0,0
1,50,200,30,0,0,0,0.625,1,0.769
1,50,10000,30,0.915,0.958,0.936,0.982,0.963,0.973
2,500,10000,5,1,0.989,0.995,0.999,1,1
2,1000,5000,20,1,0.99,0.995,0.998,1,0.999
2,1000,10000,50,0.999,0.994,0.996,0.994,0.999,0.997
1,20,500,10,1,0.364,0.533,0.927,1,0.962
1,20,50000,20,0,0,0,0.796,1,0.886
1,50,500,30,0,0,0,0.62,1,0.765
2,500,500,30,0.568,1,0.725,1,0.747,0.855
1,500,10000,30,0.293,1,0.454,0,0,0
2,50,50000,5,0,0,0,0.951,1,0.975
1,100,200,5,0,0,0,0.925,1,0.961
1,50,500,5,0.2,1,0.333,1,0.876,0.934
1,50,10000,40,0.815,0.763,0.788,0.843,0.88,0.861
1,1000,10000,40,0.553,1,0.712,1,0.453,0.624
1,100,10000,5,0.453,0.989,0.621,0.999,0.939,0.968
1,20,500,20,0,0,0,0.83,1,0.907
2,20,500,50,0.98,0.942,0.961,0.925,0.974,0.949
1,20,5000,40,0,0,0,0.627,1,0.771
2,100,200,5,0,0,0,0.975,1,0.987
2,100,50000,20,0.197,1,0.329,0,0,0
1,100,5000,50,0.984,0.981,0.982,0.979,0.983,0.981
2,100,1000,20,1,0.964,0.982,0.993,1,0.997
2,1000,50000,20,1,1,1,1,1,1
2,1000,5000,50,1,0.994,0.997,0.994,1,0.997
1,500,500,20,0,0,0,0.78,1,0.876
1,100,500,20,0.929,0.867,0.897,0.977,0.988,0.982
2,20,1000,20,1,1,1,1,1,1
1,100,1000,50,0.705,0.958,0.812,0.944,0.638,0.761
