FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,50,5000,50,0.998,0.998,0.998,0.998,0.998,0.998
2,500,500,20,0.886,1,0.939,1,0.942,0.97
2,20,200,5,1,0.5,0.667,0.974,1,0.987
1,500,50000,20,0.997,1,0.998,1,0.999,1
2,100,5000,5,1,1,1,1,1,1
2,50,5000,20,0.994,0.994,0.994,0.999,0.999,0.999
2,500,5000,30,1,0.994,0.997,0.997,1,0.999
2,50,10000,50,0.998,0.998,0.998,0.998,0.998,0.998
2,50,500,30,0.929,1,0.963,1,0.973,0.986
1,1000,5000,20,0.995,1,0.997,1,0.999,0.999
1,500,500,50,0.941,1,0.97,1,0.942,0.97
1,100,200,20,1,0.875,0.933,0.97,1,0.985
2,500,1000,30,0.805,0.66,0.725,0.89,0.945,0.916
2,500,1000,10,0.833,1,0.909,1,0.977,0.988
1,20,500,40,1,1,1,1,1,1
2,1000,200,40,1,0.737,0.848,0.808,1,0.894
2,1000,1000,5,0.556,0.5,0.526,0.973,0.978,0.976
2,20,50000,50,1,1,1,1,1,1
1,20,200,50,1,1,1,1,1,1
2,500,500,50,0.942,0.942,0.942,0.938,0.938,0.938
1,1000,500,30,1,1,1,1,1,1
2,500,1000,40,0.883,0.944,0.913,0.966,0.927,0.946
1,50,50000,40,0.999,1,1,1,0.999,1
2,50,10000,5,1,0.99,0.995,0.999,1,1
2,500,10000,30,0,0,0,0.699,1,0.823
1,50,50000,20,0.999,1,0.999,1,1,1
2,50,50000,40,0.999,0.999,0.999,1,1,1
