FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
1,100,200,50,0,0,0,0.475,1,0.644
2,100,10000,30,0,0,0,0.693,1,0.819
2,100,500,5,0,0,0,0.94,1,0.969
1,20,200,40,0.45,1,0.621,0,0,0
2,50,10000,40,0.995,0.991,0.993,0.994,0.997,0.995
2,50,500,20,0,0,0,0.84,1,0.913
2,100,200,40,0,0,0,0.55,1,0.71
2,500,200,40,0.3,1,0.462,0,0,0
1,50,200,30,0.667,1,0.8,1,0.786,0.88
1,50,10000,30,0.844,0.973,0.904,0.987,0.921,0.953
2,500,10000,5,0.042,1,0.081,0,0,0
2,1000,5000,20,0,0,0,0.76,1,0.864
2,1000,10000,50,0,0,0,0.504,1,0.671
1,20,500,10,0.944,1,0.971,1,0.988,0.994
1,20,50000,20,0.979,1,0.99,1,0.995,0.997
1,50,500,30,0,0,0,0.75,1,0.857
2,500,500,30,0,0,0,0.66,1,0.795
1,500,10000,30,0.286,1,0.445,0,0,0
2,50,50000,5,0.911,0.998,0.952,1,0.995,0.997
1,100,200,5,0,0,0,0.95,1,0.974
1,50,500,5,0.08,1,0.148,0,0,0
1,50,10000,40,0.983,0.984,0.983,0.99,0.989,0.99
1,1000,10000,40,0.4,1,0.571,0,0,0
1,100,10000,5,0.989,0.937,0.962,0.996,0.999,0.998
1,20,500,20,0.8,1,0.889,1,0.921,0.959
2,20,500,50,0,0,0,0.467,1,0.636
1,20,5000,40,0.921,0.944,0.932,0.963,0.946,0.954
2,100,200,5,0,0,0,0.925,1,0.961
2,100,50000,20,0.974,0.999,0.986,1,0.993,0.997
1,100,5000,50,0.508,1,0.674,0,0,0
2,100,1000,20,0.189,1,0.318,0,0,0
2,1000,50000,20,0.996,0.966,0.981,0.992,0.999,0.995
2,1000,5000,50,0,0,0,0.456,1,0.626
1,500,500,20,0,0,0,0.79,1,0.883
1,100,500,20,0.609,0.933,0.737,0.987,0.894,0.938
2,20,1000,20,0,0,0,0.739,1,0.85
1,100,1000,50,0.465,1,0.635,0,0,0
1,100,200,10,0,0,0,0.95,1,0.974
1,500,50000,50,0.499,1,0.666,0,0,0
2,50,5000,50,0.992,0.996,0.994,0.996,0.992,0.994
2,500,500,20,0,0,0,0.74,1,0.851
2,20,200,5,0,0,0,0.925,1,0.961
1,500,50000,20,0.201,1,0.335,0,0,0
2,100,5000,5,0.673,1,0.805,1,0.983,0.991
2,50,5000,20,0.981,1,0.99,1,0.995,0.997
2,500,5000,30,0.987,0.977,0.982,0.99,0.994,0.992
2,50,10000,50,0.99,0.996,0.993,0.996,0.99,0.993
2,50,500,30,1,0.862,0.926,0.947,1,0.973
1,1000,5000,20,0,0,0,0.807,1,0.893
1,500,500,50,0,0,0,0.47,1,0.639
1,100,200,20,0.867,1,0.929,1,0.926,0.962
2,500,1000,30,0,0,0,0.718,1,0.836
2,500,1000,10,0.097,1,0.178,0,0,0
1,20,500,40,0.848,0.951,0.897,0.955,0.857,0.903
2,1000,200,40,0.3,1,0.462,0,0,0
2,1000,1000,5,0.031,1,0.06,0,0,0
2,20,50000,50,0.998,0.988,0.993,0.988,0.998,0.993
1,20,200,50,0.45,1,0.621,0,0,0
2,500,500,50,0,0,0,0.58,1,0.734
1,1000,500,30,0,0,0,0.69,1,0.817
2,500,1000,40,0.431,1,0.602,0,0,0
1,50,50000,40,0.991,1,0.996,1,0.994,0.997
2,50,10000,5,0.901,1,0.948,1,0.995,0.997
2,500,10000,30,0,0,0,0.693,1,0.818
1,50,50000,20,0.402,1,0.573,1,0.641,0.781
2,50,50000,40,0.99,0.997,0.994,0.998,0.993,0.996
1,100,10000,40,0.994,1,0.997,1,0.999,1
2,20,10000,40,0.933,0.984,0.958,0.996,0.981,0.988
