FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
1,1000,1000,30,0,0,0,0.626,1,0.77
2,1000,50000,50,0,0,0,0.496,1,0.663
1,500,10000,10,0,0,0,0.9,1,0.948
2,50,500,10,0.909,1,0.952,1,0.989,0.994
2,100,10000,10,0.693,0.974,0.81,0.997,0.959,0.978
2,50,5000,40,0.962,0.982,0.972,0.988,0.975,0.982
2,1000,500,10,0,0,0,0.93,1,0.964
1,1000,200,10,0.056,0.333,0.095,0.909,0.541,0.678
1,100,10000,20,0.991,1,0.996,1,0.998,0.999
1,1000,10000,20,0,0,0,0.788,1,0.881
1,50,50000,10,0.997,1,0.998,1,1,1
1,1000,500,10,0,0,0,0.95,1,0.974
2,1000,10000,20,0,0,0,0.799,1,0.889
2,100,200,10,0.294,1,0.455,1,0.657,0.793
1,20,1000,10,1,1,1,1,1,1
1,500,10000,40,0.658,0.33,0.439,0.662,0.885,0.758
2,20,200,50,0.762,0.941,0.842,0.947,0.783,0.857
1,500,10000,20,0,0,0,0.796,1,0.886
2,1000,1000,30,0,0,0,0.779,1,0.876
2,50,200,20,0.8,0.889,0.842,0.967,0.935,0.951
1,500,1000,50,0,0,0,0.497,1,0.664
2,100,500,20,0.413,0.731,0.528,0.87,0.635,0.734
2,20,1000,5,0.75,0.857,0.8,0.994,0.988,0.991
2,1000,1000,20,0,0,0,0.81,1,0.895
1,100,1000,30,0.894,1,0.944,1,0.964,0.982
1,100,5000,20,0.202,0.894,0.33,0.887,0.191,0.314
1,20,10000,50,0.996,1,0.998,1,0.996,0.998
1,100,200,50,0.4,0.1,0.16,0.486,0.85,0.618
2,100,10000,30,0.677,0.921,0.781,0.956,0.798,0.87
2,100,500,5,0.136,0.429,0.207,0.949,0.796,0.865
1,20,200,40,1,1,1,1,1,1
2,50,10000,40,0.973,0.999,0.985,0.999,0.981,0.99
2,50,500,20,0.909,1,0.952,1,0.975,0.987
2,100,200,40,0.533,0.615,0.571,0.8,0.741,0.769
2,500,200,40,0.513,0.952,0.667,0,0,0
1,50,200,30,1,0.909,0.952,0.967,1,0.983
1,50,10000,30,0.993,1,0.996,1,0.997,0.998
2,500,10000,5,0,0,0,0.95,1,0.974
2,1000,5000,20,0,0,0,0.793,1,0.885
2,1000,10000,50,0,0,0,0.524,1,0.688
1,20,500,10,1,1,1,1,1,1
1,20,50000,20,0.998,1,0.999,1,0.999,1
1,50,500,30,1,1,1,1,1,1
2,500,500,30,0,0,0,0.73,1,0.844
1,500,10000,30,0,0,0,0.715,1,0.833
2,50,50000,5,0.984,1,0.992,1,0.999,1
1,100,200,5,0.25,1,0.4,1,0.923,0.96
1,50,500,5,1,1,1,1,1,1
1,50,10000,40,1,1,1,1,1,1
1,1000,10000,40,0,0,0,0.602,1,0.752
1,100,10000,5,0.079,0.723,0.142,0.972,0.533,0.688
1,20,500,20,1,1,1,1,1,1
2,20,500,50,1,0.98,0.99,0.975,1,0.987
1,20,5000,40,0.997,1,0.999,1,0.998,0.999
2,100,200,5,0,0,0,0.968,0.769,0.857
2,100,50000,20,0.295,0.56,0.386,0.862,0.673,0.756
1,100,5000,50,0.472,0.502,0.487,0.433,0.404,0.418
2,100,1000,20,0.615,0.444,0.516,0.87,0.931,0.899
2,1000,50000,20,0,0,0,0.798,1,0.888
2,1000,5000,50,0,0,0,0.518,1,0.682
1,500,500,20,0,0,0,0.79,1,0.883
1,100,500,20,0.183,1,0.309,1,0.084,0.156
2,20,1000,20,0.974,1,0.987,1,0.993,0.996
1,100,1000,50,0.59,0.469,0.523,0.574,0.686,0.625
1,100,200,10,0.5,0.75,0.6,0.971,0.917,0.943
1,500,50000,50,0,0,0,0.5,1,0.666
