FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
2,100,500,10,0.237,0.818,0.367,0.968,0.674,0.795
2,20,50000,10,0.974,0.997,0.985,1.0,0.997,0.998
2,20,5000,20,0.97,0.985,0.977,0.996,0.992,0.994
1,100,50000,30,0.859,1.0,0.924,1.0,0.928,0.963
1,50,10000,20,0.625,1.0,0.769,1.0,0.863,0.926
1,100,1000,5,0.113,0.857,0.2,0.992,0.728,0.84
2,20,50000,40,0.994,1.0,0.997,1.0,0.996,0.998
1,50,5000,20,0.67,0.99,0.799,0.997,0.866,0.927
2,50,500,40,0.543,0.679,0.603,0.836,0.742,0.786
1,50,1000,10,0.259,0.875,0.4,0.97,0.615,0.753
2,500,50000,30,0.0,0.0,0.0,0.694,1.0,0.82
2,500,50000,20,0.0,0.0,0.0,0.804,1.0,0.891
1,20,10000,40,0.989,1.0,0.994,1.0,0.992,0.996
2,50,1000,50,0.973,0.655,0.783,0.698,0.978,0.815
2,20,1000,50,0.656,0.792,0.717,0.731,0.576,0.644
2,20,1000,10,0.14,1.0,0.246,1.0,0.442,0.613
2,100,5000,20,0.979,0.876,0.925,0.966,0.995,0.98
2,100,500,50,0.585,0.585,0.585,0.405,0.405,0.405
2,20,200,20,0.125,0.667,0.211,0.958,0.622,0.754
2,1000,200,20,0.256,1.0,0.408,1.0,0.033,0.065
1,20,500,50,0.574,0.705,0.633,0.639,0.5,0.561
2,500,1000,50,0.0,0.0,0.0,0.545,1.0,0.706
2,1000,500,5,0.0,0.0,0.0,0.96,1.0,0.98
1,500,5000,20,0.885,0.786,0.833,0.943,0.972,0.957
2,1000,10000,40,0.0,0.0,0.0,0.617,1.0,0.763
2,1000,5000,5,0.0,0.0,0.0,0.955,1.0,0.977
2,500,200,50,0.576,0.95,0.717,0.857,0.3,0.444
1,50,500,50,0.734,0.959,0.832,0.923,0.585,0.716
1,500,1000,10,0.0,0.0,0.0,0.925,1.0,0.961
2,20,1000,40,0.62,0.713,0.663,0.75,0.664,0.704
1,1000,5000,5,0.205,0.918,0.336,0.995,0.817,0.897
2,1000,10000,10,0.0,0.0,0.0,0.9,1.0,0.947
1,500,500,5,0.0,0.0,0.0,0.96,1.0,0.98
2,100,10000,20,0.965,0.948,0.957,0.988,0.992,0.99
2,500,500,10,0.0,0.0,0.0,0.93,1.0,0.964
2,500,10000,10,0.0,0.0,0.0,0.892,1.0,0.943
1,500,50000,10,0.0,0.0,0.0,0.9,1.0,0.947
2,50,10000,20,1.0,0.975,0.987,0.994,1.0,0.997
1,50,500,40,0.634,0.634,0.634,0.694,0.694,0.694
1,1000,1000,30,0.0,0.0,0.0,0.655,1.0,0.792
2,1000,50000,50,0.0,0.0,0.0,0.502,1.0,0.669
1,500,10000,10,0.936,1.0,0.967,1.0,0.992,0.996
2,50,500,10,0.195,0.8,0.314,0.966,0.633,0.765
2,100,10000,10,0.166,0.439,0.241,0.914,0.731,0.813
2,50,5000,40,0.997,0.995,0.996,0.997,0.998,0.998
2,1000,500,10,0.155,0.75,0.257,0.929,0.443,0.6
1,1000,200,10,0.0,0.0,0.0,0.875,1.0,0.933
1,100,10000,20,0.574,0.883,0.696,0.969,0.846,0.903
1,1000,10000,20,0.706,1.0,0.828,1.0,0.893,0.944
1,50,50000,10,0.981,1.0,0.99,1.0,0.998,0.999
1,1000,500,10,0.0,0.0,0.0,0.94,1.0,0.969
2,1000,10000,20,0.0,0.0,0.0,0.799,1.0,0.889
2,100,200,10,0.0,0.0,0.0,0.95,1.0,0.974
1,20,1000,10,0.484,0.938,0.638,0.993,0.902,0.946
1,500,10000,40,0.867,0.982,0.921,0.988,0.904,0.944
2,20,200,50,0.519,0.737,0.609,0.615,0.381,0.471
1,500,10000,20,0.0,0.0,0.0,0.796,1.0,0.886
2,1000,1000,30,0.0,0.0,0.0,0.695,1.0,0.82
2,50,200,20,0.667,0.667,0.667,0.857,0.857,0.857
1,500,1000,50,0.0,0.0,0.0,0.565,1.0,0.722
2,100,500,20,0.519,0.583,0.549,0.863,0.829,0.846
