FP,MLSL,DS,Fperc,F_P,F_R,F_F1,N_P,N_R,N_F1
1,20,200,30,0.867,1,0.929,1,0.926,0.962
1,1000,500,50,0.982,1,0.991,1,0.978,0.989
1,50,200,50,0.833,1,0.909,1,0.88,0.936
2,1000,50000,5,0.985,0.975,0.98,0.999,0.999,0.999
2,1000,500,20,0.867,0.65,0.743,0.918,0.975,0.945
1,1000,200,30,0.938,1,0.968,1,0.96,0.98
1,500,1000,20,1,1,1,1,1,1
2,50,5000,5,1,0.958,0.979,0.998,1,0.999
2,1000,1000,50,0.944,0.935,0.94,0.92,0.931,0.926
1,100,10000,30,1,1,1,1,1,1
1,500,5000,40,1,1,1,1,1,1
2,100,500,10,0.75,1,0.857,1,0.979,0.989
2,20,50000,10,1,1,1,1,1,1
2,20,5000,20,0.99,0.975,0.982,0.993,0.997,0.995
1,100,50000,30,1,1,1,1,1,1
1,50,10000,20,1,1,1,1,1,1
1,100,1000,5,1,1,1,1,1,1
2,20,50000,40,0.999,1,1,1,0.999,1
1,50,5000,20,0.996,1,0.998,1,0.999,0.999
2,50,500,40,1,0.968,0.984,0.983,1,0.992
1,50,1000,10,0.905,1,0.95,1,0.988,0.994
2,500,50000,30,0.999,0.998,0.998,0.999,1,0.999
2,500,50000,20,0.989,0.999,0.994,1,0.997,0.998
1,20,10000,40,0.997,1,0.999,1,0.998,0.999
2,50,1000,50,0.982,0.973,0.977,0.967,0.978,0.972
2,20,1000,50,0.971,1,0.985,1,0.97,0.985
2,20,1000,10,0.929,0.867,0.897,0.988,0.994,0.991
2,100,5000,20,1,0.995,0.998,0.999,1,0.999
2,100,500,50,0.98,0.943,0.962,0.923,0.973,0.947
2,20,200,20,0.667,0.667,0.667,0.973,0.973,0.973
2,1000,200,20,1,0.7,0.824,0.909,1,0.952
1,20,500,50,0.957,1,0.978,1,0.957,0.978
2,500,1000,50,0.975,0.878,0.924,0.904,0.981,0.941
2,1000,500,5,1,0.25,0.4,0.97,1,0.985
1,500,5000,20,1,1,1,1,1,1
2,1000,10000,40,0.999,0.98,0.989,0.988,0.999,0.994
2,1000,5000,5,0.913,0.933,0.923,0.997,0.996,0.996
2,500,200,50,0.842,0.8,0.821,0.81,0.85,0.829
1,50,500,50,0.98,1,0.99,1,0.976,0.988
1,500,1000,10,1,1,1,1,1,1
2,20,1000,40,0.956,1,0.978,1,0.965,0.982
1,1000,5000,5,1,1,1,1,1,1
2,1000,10000,10,0.962,1,0.98,1,0.996,0.998
1,500,500,5,1,0.75,0.857,0.99,1,0.995
2,100,10000,20,0.98,0.989,0.984,0.997,0.995,0.996
2,500,500,10,0.667,0.571,0.615,0.968,0.978,0.973
2,500,10000,10,0.991,0.981,0.986,0.998,0.999,0.998
1,500,50000,10,1,1,1,1,1,1
2,50,10000,20,0.995,0.995,0.995,0.999,0.999,0.999
1,50,500,40,1,1,1,1,1,1
1,1000,1000,30,1,1,1,1,1,1
2,1000,50000,50,0.999,0.999,0.999,0.999,0.999,0.999
1,500,10000,10,0.991,1,0.995,1,0.999,0.999
2,50,500,10,0.9,0.9,0.9,0.989,0.989,0.989
2,100,10000,10,0.99,0.985,0.987,0.998,0.999,0.998
2,50,5000,40,1,0.992,0.996,0.995,1,0.998
2,1000,500,10,0.571,0.333,0.421,0.914,0.966,0.939
1,1000,200,10,0.667,0.8,0.727,0.971,0.943,0.957
1,100,10000,20,0.997,1,0.999,1,0.999,1
1,1000,10000,20,0.998,1,0.999,1,0.999,1
1,50,50000,10,1,1,1,1,1,1
1,1000,500,10,0.833,0.833,0.833,0.989,0.989,0.989
2,1000,10000,20,0.975,0.988,0.981,0.997,0.994,0.995
2,100,200,10,0.071,0.5,0.125,0.962,0.658,0.781
1,20,1000,10,1,1,1,1,1,1
1,500,10000,40,0.999,1,0.999,1,0.999,1
2,20,200,50,0.941,0.842,0.889,0.87,0.952,0.909
1,500,10000,20,1,1,1,1,1,1
2,1000,1000,30,0.75,0.934,0.832,0.966,0.858,0.909
2,50,200,20,1,0.667,0.8,0.875,1,0.933
1,500,1000,50,0.966,1,0.983,1,0.972,0.986
2,100,500,20,1,0.917,0.957,0.974,1,0.987
2,20,1000,5,1,1,1,1,1,1
2,1000,1000,20,1,0.905,0.95,0.975,1,0.987
1,100,1000,30,1,1,1,1,1,1
1,100,5000,20,0.995,1,0.997,1,0.999,0.999
1,20,10000,50,0.999,1,0.999,1,0.999,0.999
1,100,200,50,1,1,1,1,1,1
2,100,10000,30,0.998,0.996,0.997,0.998,0.999,0.999
2,100,500,5,0.571,0.667,0.615,0.978,0.968,0.973
1,20,200,40,1,1,1,1,1,1
2,50,10000,40,0.997,0.995,0.996,0.997,0.998,0.997
2,50,500,20,0.882,0.938,0.909,0.988,0.976,0.982
2,100,200,40,0.458,0.611,0.524,0.562,0.409,0.474
2,500,200,40,1,0.75,0.857,0.903,1,0.949
1,50,200,30,1,1,1,1,1,1
1,50,10000,30,1,1,1,1,1,1
2,500,10000,5,0.921,0.976,0.948,0.999,0.996,0.998
2,1000,5000,20,1,0.992,0.996,0.997,1,0.999
2,1000,10000,50,0.962,0.998,0.98,0.998,0.961,0.979
1,20,500,10,1,1,1,1,1,1
1,20,50000,20,0.999,1,1,1,1,1
1,50,500,30,0.962,1,0.98,1,0.987,0.993
2,500,500,30,1,1,1,1,1,1
1,500,10000,30,0.997,1,0.998,1,0.999,0.999
2,50,50000,5,0.996,0.996,0.996,1,1,1
1,100,200,5,0.5,0.5,0.5,0.974,0.974,0.974
